,Plant Name,Other Names,Plant Type,Plant Size,Growing Zones,Rainfall,Summer Rainfall,Sun,Moisture,Soil,Coldest Month,Hottest Month,Cold Tolerance,Humidity,Elevation,Uses,Flower Color,Ease of Care,Sightings,Image,Calscape url
11,Rhus ovata,Common Names: Sugar Sumac,Shrub,6.6 - 32.8 ft tall30 ft wide,"['USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)', 'USDA Zone 11: above 4.5 °C (40 °F)']","4.8"" - 43.2""","0.14"" - 2.77""","Full Sun, Part Shade",Very Low,Tolerates a variety of soils. Soil PH: 6.0 - 8.0," 33.5"" - 59.1"""," 60.6"" - 87.7""",Tolerates cold to 0° F,"0.89"" - 38.56""","-283"" - 7419""","Bank Stabilization, Hedges, Deer Resistant, Bird Gardens","White,  Pink",Very Easy,6086,https://static.inaturalist.org/photos/5762942/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Rhus-ovata-(Sugar-Bush)?srchcr=sc61b191e9dcb54"
12,Salvia apiana,Botanical Names: Salvia apiana var. apiana,Shrub,3 - 5 ft tall3 - 8 ft wide,,"3.8"" - 37.6""","0.14"" - 2.84""",Full Sun,"Extremely Low, Very Low",Adaptable to a variety of soil types. Soil PH: 6.0 - 8.0," 35.6"" - 59.1"""," 62.1"" - 87.7""",Tolerates cold to 0° F,"0.72"" - 38.56""","7"" - 7394""","Bank Stabilization, Groundcovers, Hedges, Deer Resistant, Hummingbird Gardens, Bird Gardens, Butterfly Gardens, Bee Gardens",White,Very Easy,7877,https://static.inaturalist.org/photos/557242/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Salvia-apiana-(White-Sage)?srchcr=sc61b191e9dcb54"
13,Rhus integrifolia,Common Names: Lemonade Sumac,Shrub,3 - 30 ft tall3 - 20 ft wide,,"3.6"" - 39.3""","0.14"" - 2.72""","Part Shade, Full Sun","Extremely Low, Very Low",Many soil types. Soil PH: 5.0 - 8.0," 33.5"" - 59.2"""," 59.0"" - 88.3""",Tolerates cold to 25° F,"0.83"" - 40.37""","-167"" - 7419""","Bank Stabilization, Bird Gardens, Deer Resistant, Hedges","Pink,  White",Very Easy,9816,https://inaturalist-open-data.s3.amazonaws.com/photos/14516370/small.jpeg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Rhus-integrifolia-(Lemonade-Berry)?srchcr=sc61b191e9dcb54"
14,Trichostema lanatum,,Shrub,5 ft tall10 ft wide,,"10.7"" - 49.3""","0.14"" - 2.63""","Part Shade, Full Sun","Very Low, Low",Often but not always found on eroded gabbro or sandstone soils. Soil PH: 6.0 - 7.5," 37.6"" - 56.2"""," 60.1"" - 79.3""",Tolerates cold to 0° F,"0.59"" - 27.56""","5"" - 6306""","Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","Blue,  Lavender,  Pink",Moderately Easy,1847,https://inaturalist-open-data.s3.amazonaws.com/photos/18967927/small.jpeg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Trichostema-lanatum-(Woolly-Bluecurls)?srchcr=sc61b191e9dcb54"
15,Penstemon heterophyllus,"Common Names: Bunchleaf Penstemon, Foothill Beardtongue",Perennial herb,3.3 - 5 ft tall5 ft wide,"['USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","7.6"" - 99.6""","0.14"" - 2.57""","Full Sun,  Part Shade",Very Low,Tolerant of a variety of soils as long as drainage is good. Tolerates Sodic Soil. Soil PH: 6.0 - 7.5," 28.9"" - 55.0"""," 54.3"" - 78.4""",Tolerates cold to 10° F,"0.29"" - 28.30""","30"" - 6924""","Groundcovers, Deer Resistant, Bird Gardens, Hummingbird Gardens, Butterfly Gardens, Bee Gardens","Blue,  Lavender,  Purple",Very Easy,2138,https://inaturalist-open-data.s3.amazonaws.com/photos/116263/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Penstemon-heterophyllus-(Foothill-Penstemon)?srchcr=sc61b191e9dcb54"
16,Lupinus albifrons,,Shrub,3.2 - 5 ft tall2 - 3 ft wide,"['USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","4.9"" - 130.5""","0.14"" - 4.08""",Full Sun,Very Low,Occurs in a variety of soils. Soil PH: 6.0 - 8.0," 21.0"" - 56.7"""," 42.0"" - 84.4""",Tolerates cold to -10° F,"0.08"" - 35.52""","-7"" - 12091""","Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","Blue,  Lavender,  Purple",Very Easy,4717,https://inaturalist-open-data.s3.amazonaws.com/photos/25652342/small.jpeg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Lupinus-albifrons-(Silver-Lupine)?srchcr=sc61b191e9dcb54"
17,Frangula californica,Botanical Names: Rhamnus californicaCommon Names: California Buckthorn,Shrub,6 - 15 ft tall5 - 15 Feet wide,,"3.5"" - 156.3""","0.14"" - 5.90""","Full Sun, Part Shade","Low, Very Low","Tolerates a variety of soils, but some subspecies have specific soil affinities. Soil PH: 5.0 - 8.0"," 11.6"" - 56.0"""," 34.8"" - 81.9""",Tolerates cold to 10° F,"0.01"" - 34.79""","-261"" - 13935""","Bank Stabilization, Hedges, Groundcovers, Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","Cream,  Green,  White",Very Easy,8922,https://inaturalist-open-data.s3.amazonaws.com/photos/47390634/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Frangula-californica-(Coffeeberry)?srchcr=sc61b191e9dcb54"
18,Elymus condensatus,"Botanical Names: Leymus condensatusCommon Names: Giant Rye Grass, Giant Wild-rye",Grasses,3 - 6 ft tall2 - 8 ft wide,,"5.1"" - 50.8""","0.14"" - 3.40""",Full Sun,Very Low,Tolerant of sand and clay. Tolerates Serpentine Soil. Soil PH: 5.0 - 8.0," 28.5"" - 56.9"""," 54.9"" - 84.0""",Tolerates cold to 15° F,"0.04"" - 35.93""","-7"" - 7531""","Groundcovers, Deer Resistant, Butterfly Gardens",Brown,Very Easy,2251,https://inaturalist-open-data.s3.amazonaws.com/photos/66056/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Elymus-condensatus-(Giant-Wildrye)?srchcr=sc61b191e9dcb54"
19,Erythranthe cardinalis,"Botanical Names: Diplacus cardinalis,Mimulus cardinalis,Mimulus cardinalisCommon Names: Cardinal Monkey Flower",Perennial herb,1.5 - 3 ft tall3 ft wide,,"5.2"" - 91.2""","0.14"" - 3.60""","Part Shade, Full Sun",Moderate - High,Tolerates sandy and clay soils. Tolerates Serpentine Soil. Soil PH: 4.0 - 9.0," 24.3"" - 56.6"""," 47.8"" - 84.0""",,"0.28"" - 34.82""","-180"" - 10461""","Bee Gardens, Bird Gardens, Bogs and Ponds, Butterfly Gardens, Deer Resistant, Hummingbird Gardens","Red,  Orange",Very Easy,3335,https://static.inaturalist.org/photos/19841190/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Erythranthe-cardinalis-(Scarlet-Monkeyflower)?srchcr=sc61b191e9dcb54"
20,Ceanothus integerrimus,Common Names: Deerbrush Ceanothus,Shrub,3.3 - 13.1 ft tall7 ft wide,,"5.6"" - 136.5""","0.15"" - 4.64""",Full Sun,"Extremely Low, Very Low",Tolerates decomposed granite or clay. Soil PH: 4.0 - 7.0," 10.0"" - 55.3"""," 33.4"" - 82.4""",Tolerates cold to -10° F,"0.09"" - 33.08""","8"" - 14090""","Bank Stabilization, Bird Gardens, Butterfly Gardens, Bee Gardens","White,  Lavender,  Blue",Moderately Easy,1859,https://inaturalist-open-data.s3.amazonaws.com/photos/821332/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Ceanothus-integerrimus-(Deerbrush)?srchcr=sc61b191e9dcb54"
21,Cercocarpus betuloides,"Common Names: Birch-leaf Mountain-mahogany, Comes",Shrub,8 - 20 ft tall10 - 12 ft wide,,"4.3"" - 97.0""","0.14"" - 3.08""","Part Shade, Full Sun","Very Low, Low,",adaptable. Tolerates Serpentine Soil. Soil PH: 5.0 - 8.0," 24.9"" - 57.5"""," 47.6"" - 84.2""",Tolerates cold to 20° F,"0.35"" - 35.59""","11"" - 9839""","Hedges, Bank Stabilization, Deer Resistant, Bird Gardens, Butterfly Gardens","Cream,  White",Moderately Easy,4360,https://inaturalist-open-data.s3.amazonaws.com/photos/62842220/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Cercocarpus-betuloides-(Mountain-Mahogany)?srchcr=sc61b191e9dcb54"
22,Atriplex lentiformis,"Common Names: Quail Bush, Quailbush",Shrub,3.3 - 10 ft tall10 ft wide,,"2.5"" - 38.1""","0.12"" - 1.77""",Full Sun,Low,"Tolerates a variety of soils, especially alkaline. Tolerates Saline Soil,Tolerates Sodic Soil. Soil PH: 7.0 - 9.0"," 33.8"" - 63.3"""," 62.6"" - 89.6""",Tolerates cold to 15° F,"0.91"" - 43.88""","-230"" - 6825""","Bank Stabilization, Hedges, Butterfly Gardens, Bird Gardens","Yellow,  Brown",Very Easy,2800,https://inaturalist-open-data.s3.amazonaws.com/photos/1109549/small.JPG,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Atriplex-lentiformis-(Big-Saltbush)?srchcr=sc61b191e9dcb54"
23,Baccharis pilularis,"Common Names: Coyote Brush, Coyotebrush, Dwarf Chaparral Broom",Shrub,1.5 - 10 ft tall12 ft wide,"['USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","3.6"" - 123.6""","0.15"" - 3.72""","Full Sun,  Part Shade","Very Low, Low","Tolerant of a variety of soils including sand, clay and alkaline. Soil PH: 5.0 - 8.0"," 39.7"" - 59.0"""," 56.7"" - 87.9""",,"0.01"" - 38.93""","-152"" - 6046""","Bank Stabilization, Groundcovers, Hedges, Butterfly Gardens, Deer Resistant, Bird Gardens, Bee Gardens","Yellow,  Cream,  White",Very Easy,19548,https://inaturalist-open-data.s3.amazonaws.com/photos/5362069/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Baccharis-pilularis-(Coyote-Bush)?srchcr=sc61b191e9dcb54"
24,Salvia mellifera,,Shrub,3 - 6 ft tall10 ft wide,,"4.5"" - 51.2""","0.14"" - 2.64""",Full Sun,"Extremely Low, Very Low","Tolerates a variety of soils although it is happier with good drainage. Tolerates Gabro Soil,Tolerates Serpentine Soil. Soil PH: 4.0 - 8.0"," 34.4"" - 60.4"""," 58.6"" - 88.3""",Tolerates cold to 30° F,"0.41"" - 42.82""","-18"" - 6692""","Bank Stabilization, Groundcovers, Hedges, Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","Blue,  Lavender,  White",Very Easy,10025,https://inaturalist-open-data.s3.amazonaws.com/photos/3188238/small.JPG,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Salvia-mellifera-(Black-Sage)?srchcr=sc61b191e9dcb54"
25,Acer macrophyllum,Common Names: Bigleaf Maple,Tree,30 - 114.8 ft tall65 ft wide,,"5.8"" - 133.8""","0.14"" - 4.51""","Part Shade, Full Sun",Moderate - High,"Prefers clay or loamy soil, tolerates sandy soil. Tolerates Serpentine Soil. Soil PH: 5.5 - 7.5"," 29.4"" - 58.4"""," 47.3"" - 87.1""",Tolerates cold to 5° F,"0.01"" - 37.68""","3"" - 8910""","Bird Gardens, Deer Resistant, Butterfly Gardens","Yellow,  Pink",moderately easy,14174,https://inaturalist-open-data.s3.amazonaws.com/photos/1145/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Acer-macrophyllum-(Big-Leaf-Maple)?srchcr=sc61b191e9dcb54"
26,Leptosyne gigantea,Botanical Names: Coreopsis gigantea,"Shrub, Succulent",3.3 - 8 ft tall2 - 4 ft wide,,"8.7"" - 27.2""","0.14"" - 0.40""",Full Sun,"Extremely Low, Very Low",Prefers sand or sandstone. Soil PH: 5.0 - 7.0," 46.7"" - 57.3"""," 60.0"" - 77.4""",Tolerates cold to 25° F,"0.89"" - 22.43""","-146"" - 1900""","Bank Stabilization, Hedges, Bee Gardens",Yellow,Moderately Easy,1204,https://inaturalist-open-data.s3.amazonaws.com/photos/34149/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Leptosyne-gigantea-(Giant-Coreopsis)?srchcr=sc61b191e9dcb54"
27,Romneya trichocalyx,,Perennial herb,3.5 - 7 ft tall20 ft wide,"['USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)', 'USDA Zone 11: above 4.5 °C (40 °F)']","10.6"" - 42.1""","0.19"" - 1.36""",Full Sun,Low,Prefers sandy or gravelly soil with fast drainage. Soil PH: 5.0 - 8.0," 34.3"" - 56.1"""," 63.0"" - 79.3""",,"0.94"" - 27.12""","2"" - 7069""",,"White,  Yellow",,879,https://inaturalist-open-data.s3.amazonaws.com/photos/211071/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Romneya-trichocalyx-(Bristly-Matilija-Poppy)?srchcr=sc61b191e9dcb54"
28,Eriogonum fasciculatum,"Common Names: Eastern Mojave Buckwheat, Flattop Buckwheat, Yellow Buckwheat",Shrub,1 - 6.6 ft tall3 ft wide,,"2.7"" - 50.6""","0.14"" - 3.86""",Full Sun,"Extremely Low, Very Low",Prefers loamy soils. Soil PH: 5.0 - 8.5," 23.5"" - 61.4"""," 43.2"" - 88.8""",Tolerates cold to 15° F,"0.43"" - 42.79""","0"" - 11630""","Bank Stabilization, Bee Gardens, Bird Gardens, Butterfly Gardens, Deer Resistant, Groundcovers","Yellow,  Cream,  Pink,  White",Very Easy,24163,https://inaturalist-open-data.s3.amazonaws.com/photos/3724391/small.JPG,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Eriogonum-fasciculatum-(California-Buckwheat)?srchcr=sc61b191e9dcb54"
29,Rhamnus ilicifolia,Botanical Names: Rhamnus crocea ssp. ilicifoliaCommon Names: Evergreen Buckthorn,Shrub,1 - 9 ft tall3 - 9 ft wide,,"2.7"" - 79.1""","0.14"" - 3.07""","Full Sun, Part Shade","Extremely Low, Very Low",Tolerates a variety of soils but prefers rocky well drained soil. Soil PH: 6.0 - 7.5," 32.9"" - 59.1"""," 55.3"" - 88.3""",Tolerates cold to 0° F,"0.26"" - 39.15""","-180"" - 8003""","Bank Stabilization, Hedges, Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","Yellow,  Cream",Very Easy,3676,https://inaturalist-open-data.s3.amazonaws.com/photos/2287066/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Rhamnus-ilicifolia-(Hollyleaf-Redberry)?srchcr=sc61b191e9dcb54"
30,Peritoma arborea,"Botanical Names: Isomeris arborea,Cleome arborea,Cleome isomerisCommon Names: Bladder Pod, Burrofat, California Cleome, Coastal Bladderpod",Shrub,1.6 - 6.6 ft tall6 ft wide,,"3.0"" - 37.4""","0.13"" - 2.67""",Full Sun,"Very Low, Low",Prefers well drained soils such as sand or decomposed granite. Tolerates Saline Soil. Soil PH: 7.0 - 9.0," 34.3"" - 60.8"""," 61.8"" - 89.1""",,"0.88"" - 41.57""","-136"" - 6023""","Bank Stabilization, Deer Resistant, Bird Gardens, Hummingbird Gardens, Butterfly Gardens",Yellow,Very Easy,6300,https://static.inaturalist.org/photos/1547441/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Peritoma-arborea-(Bladderpod)?srchcr=sc61b191e9dcb54"
31,Alnus rhombifolia,,Tree,49.2 - 82 ft tall35 ft wide,"['USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","4.8"" - 153.6""","0.14"" - 5.72""","Full Sun, Part Shade",Moderate - High,Tolerant of sand and clay. Soil PH: 4.0 - 8.0," 23.6"" - 59.1"""," 44.8"" - 87.7""",,"0.02"" - 38.56""","-7"" - 10807""","Bird Gardens, Butterfly Gardens","Green,  Cream",,3505,https://inaturalist-open-data.s3.amazonaws.com/photos/55405328/small.jpeg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Alnus-rhombifolia-(White-Alder)?srchcr=sc61b191e9dcb54"
