Plant Name,Other Names,Plant Type,Plant Size,Growing Zones,Rainfall,Summer Rainfall,Sun,Moisture,Soil,Coldest Month,Hottest Month,Cold Tolerance,Humidity,Elevation,Uses,Flower Color,Ease of Care,Sightings,Image,Calscape url
Salvia apiana,Botanical Names: Salvia apiana var. apiana,Shrub,3 - 5 ft tall3 - 8 ft wide,,"3.8"" - 37.6""","0.14"" - 2.84""",Full Sun,"Extremely Low, Very Low",Adaptable to a variety of soil types. Soil PH: 6.0 - 8.0," 35.6"" - 59.1"""," 62.1"" - 87.7""",Tolerates cold to 0° F,"0.72"" - 38.56""","7"" - 7394""","Bank Stabilization, Groundcovers, Hedges, Deer Resistant, Hummingbird Gardens, Bird Gardens, Butterfly Gardens, Bee Gardens",White,Very Easy,7839,https://static.inaturalist.org/photos/557242/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Salvia-apiana-(White-Sage)?srchcr=sc61ab02a473e1f"
Rhus integrifolia,Common Names: Lemonade Sumac,Shrub,3 - 30 ft tall3 - 20 ft wide,,"3.6"" - 39.3""","0.14"" - 2.72""","Part Shade, Full Sun","Extremely Low, Very Low",Many soil types. Soil PH: 5.0 - 8.0," 33.5"" - 59.2"""," 59.0"" - 88.3""",Tolerates cold to 25° F,"0.83"" - 40.37""","-167"" - 7419""","Bank Stabilization, Bird Gardens, Deer Resistant, Hedges","Pink,  White",Very Easy,9751,https://inaturalist-open-data.s3.amazonaws.com/photos/14516370/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Rhus-integrifolia-(Lemonade-Berry)?srchcr=sc61ab02a473e1f"
Frangula californica,Botanical Names: Rhamnus californicaCommon Names: California Buckthorn,Shrub,6 - 15 ft tall5 - 15 Feet wide,,"3.5"" - 156.3""","0.14"" - 5.90""","Full Sun, Part Shade","Low, Very Low","Tolerates a variety of soils, but some subspecies have specific soil affinities. Soil PH: 5.0 - 8.0"," 11.6"" - 56.0"""," 34.8"" - 81.9""",Tolerates cold to 10° F,"0.01"" - 34.79""","-261"" - 13935""","Bank Stabilization, Hedges, Groundcovers, Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","Cream,  Green,  White",Very Easy,8921,https://inaturalist-open-data.s3.amazonaws.com/photos/47390634/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Frangula-californica-(Coffeeberry)?srchcr=sc61ab02a473e1f"
Elymus condensatus,"Botanical Names: Leymus condensatusCommon Names: Giant Rye Grass, Giant Wild-rye",Grasses,3 - 6 ft tall2 - 8 ft wide,,"5.1"" - 50.8""","0.14"" - 3.40""",Full Sun,Very Low,Tolerant of sand and clay. Tolerates Serpentine Soil. Soil PH: 5.0 - 8.0," 28.5"" - 56.9"""," 54.9"" - 84.0""",Tolerates cold to 15° F,"0.04"" - 35.93""","-7"" - 7531""","Groundcovers, Deer Resistant, Butterfly Gardens",Brown,Very Easy,2246,https://inaturalist-open-data.s3.amazonaws.com/photos/66056/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Elymus-condensatus-(Giant-Wildrye)?srchcr=sc61ab02a473e1f"
Atriplex lentiformis,"Common Names: Quail Bush, Quailbush",Shrub,3.3 - 10 ft tall10 ft wide,,"2.5"" - 38.1""","0.12"" - 1.77""",Full Sun,Low,"Tolerates a variety of soils, especially alkaline. Tolerates Saline Soil,Tolerates Sodic Soil. Soil PH: 7.0 - 9.0"," 33.8"" - 63.3"""," 62.6"" - 89.6""",Tolerates cold to 15° F,"0.91"" - 43.88""","-230"" - 6825""","Bank Stabilization, Hedges, Butterfly Gardens, Bird Gardens","Yellow,  Brown",Very Easy,2781,https://inaturalist-open-data.s3.amazonaws.com/photos/1109549/small.JPG,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Atriplex-lentiformis-(Big-Saltbush)?srchcr=sc61ab02a473e1f"
Baccharis pilularis,"Common Names: Coyote Brush, Coyotebrush, Dwarf Chaparral Broom",Shrub,1.5 - 10 ft tall12 ft wide,"['USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","3.6"" - 123.6""","0.15"" - 3.72""","Full Sun,  Part Shade","Very Low, Low","Tolerant of a variety of soils including sand, clay and alkaline. Soil PH: 5.0 - 8.0"," 39.7"" - 59.0"""," 56.7"" - 87.9""",,"0.01"" - 38.93""","-152"" - 6046""","Bank Stabilization, Groundcovers, Hedges, Butterfly Gardens, Deer Resistant, Bird Gardens, Bee Gardens","Yellow,  Cream,  White",Very Easy,19466,https://inaturalist-open-data.s3.amazonaws.com/photos/5362069/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Baccharis-pilularis-(Coyote-Bush)?srchcr=sc61ab02a473e1f"
Salvia mellifera,,Shrub,3 - 6 ft tall10 ft wide,,"4.5"" - 51.2""","0.14"" - 2.64""",Full Sun,"Extremely Low, Very Low","Tolerates a variety of soils although it is happier with good drainage. Tolerates Gabro Soil,Tolerates Serpentine Soil. Soil PH: 4.0 - 8.0"," 34.4"" - 60.4"""," 58.6"" - 88.3""",Tolerates cold to 30° F,"0.41"" - 42.82""","-18"" - 6692""","Bank Stabilization, Groundcovers, Hedges, Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","Blue,  Lavender,  White",Very Easy,9993,https://inaturalist-open-data.s3.amazonaws.com/photos/3188238/small.JPG,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Salvia-mellifera-(Black-Sage)?srchcr=sc61ab02a473e1f"
Romneya trichocalyx,,Perennial herb,3.5 - 7 ft tall20 ft wide,"['USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)', 'USDA Zone 11: above 4.5 °C (40 °F)']","10.6"" - 42.1""","0.19"" - 1.36""",Full Sun,Low,Prefers sandy or gravelly soil with fast drainage. Soil PH: 5.0 - 8.0," 34.3"" - 56.1"""," 63.0"" - 79.3""",,"0.94"" - 27.12""","2"" - 7069""",,"White,  Yellow",,875,https://inaturalist-open-data.s3.amazonaws.com/photos/211071/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Romneya-trichocalyx-(Bristly-Matilija-Poppy)?srchcr=sc61ab02a473e1f"
Eriodictyon crassifolium,Common Names: Thickleaf Yerbasanta,Shrub,3.3 - 10 ft tall3 - 6 ft wide,"['USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","4.0"" - 45.4""","0.14"" - 2.72""",Full Sun,Low,Frequently in eroded sandstone or granitic soils. Soil PH: 6.0 - 8.0," 33.9"" - 62.1"""," 55.2"" - 87.6""",,"0.82"" - 38.48""","-52"" - 8863""","Hedges, Butterfly Gardens, Bee Gardens","Lavender,  Brown",Very Easy,4149,https://static.inaturalist.org/photos/2051298/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Eriodictyon-crassifolium-(Thickleaf-Yerba-Santa)?srchcr=sc61ab02a473e1f"
Eriogonum fasciculatum,"Common Names: Eastern Mojave Buckwheat, Flattop Buckwheat, Yellow Buckwheat",Shrub,1 - 6.6 ft tall3 ft wide,,"2.7"" - 50.6""","0.14"" - 3.86""",Full Sun,"Extremely Low, Very Low",Prefers loamy soils. Soil PH: 5.0 - 8.5," 23.5"" - 61.4"""," 43.2"" - 88.8""",Tolerates cold to 15° F,"0.43"" - 42.79""","0"" - 11630""","Bank Stabilization, Bee Gardens, Bird Gardens, Butterfly Gardens, Deer Resistant, Groundcovers","Yellow,  Cream,  Pink,  White",Very Easy,24092,https://inaturalist-open-data.s3.amazonaws.com/photos/3724391/small.JPG,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Eriogonum-fasciculatum-(California-Buckwheat)?srchcr=sc61ab02a473e1f"
Rhamnus ilicifolia,Botanical Names: Rhamnus crocea ssp. ilicifoliaCommon Names: Evergreen Buckthorn,Shrub,1 - 9 ft tall3 - 9 ft wide,,"2.7"" - 79.1""","0.14"" - 3.07""","Full Sun, Part Shade","Extremely Low, Very Low",Tolerates a variety of soils but prefers rocky well drained soil. Soil PH: 6.0 - 7.5," 32.9"" - 59.1"""," 55.3"" - 88.3""",Tolerates cold to 0° F,"0.26"" - 39.15""","-180"" - 8003""","Bank Stabilization, Hedges, Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","Yellow,  Cream",Very Easy,3657,https://inaturalist-open-data.s3.amazonaws.com/photos/2287066/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Rhamnus-ilicifolia-(Hollyleaf-Redberry)?srchcr=sc61ab02a473e1f"
Peritoma arborea,"Botanical Names: Isomeris arborea,Cleome arborea,Cleome isomerisCommon Names: Bladder Pod, Burrofat, California Cleome, Coastal Bladderpod",Shrub,1.6 - 6.6 ft tall6 ft wide,,"3.0"" - 37.4""","0.13"" - 2.67""",Full Sun,"Very Low, Low",Prefers well drained soils such as sand or decomposed granite. Tolerates Saline Soil. Soil PH: 7.0 - 9.0," 34.3"" - 60.8"""," 61.8"" - 89.1""",,"0.88"" - 41.57""","-136"" - 6023""","Bank Stabilization, Deer Resistant, Bird Gardens, Hummingbird Gardens, Butterfly Gardens",Yellow,Very Easy,6278,https://static.inaturalist.org/photos/1547441/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Peritoma-arborea-(Bladderpod)?srchcr=sc61ab02a473e1f"
Alnus rhombifolia,,Tree,49.2 - 82 ft tall35 ft wide,"['USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","4.8"" - 153.6""","0.14"" - 5.72""","Full Sun, Part Shade",Moderate - High,Tolerant of sand and clay. Soil PH: 4.0 - 8.0," 23.6"" - 59.1"""," 44.8"" - 87.7""",,"0.02"" - 38.56""","-7"" - 10807""","Bird Gardens, Butterfly Gardens","Green,  Cream",,3492,https://inaturalist-open-data.s3.amazonaws.com/photos/55405328/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Alnus-rhombifolia-(White-Alder)?srchcr=sc61ab02a473e1f"
Ribes speciosum,Common Names: Fuchsia-flowered Gooseberry,Shrub,6 - 10 ft tall3 - 8 ft wide,,"10.7"" - 40.4""","0.14"" - 0.79""","Full Shade, Part Shade","Very Low, Low",All different kinds. Avoid summer water in clay soils.. Tolerates Serpentine Soil. Soil PH: 4 - 8," 41.1"" - 56.3"""," 58.6"" - 79.6""",Tolerates cold to 20° F,"0.78"" - 25.94""","-247"" - 4668""","Deer Resistant, Bird Gardens, Hummingbird Gardens, Butterfly Gardens, Bee Gardens","Red,  Pink",Moderately Easy,3452,https://inaturalist-open-data.s3.amazonaws.com/photos/280684/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Ribes-speciosum-(Fuchsiaflower-Gooseberry)?srchcr=sc61ab02a473e1f"
Diplacus aurantiacus,"Botanical Names: Mimulus bifidus,Diplacus bifidus,Mimulus aurantiacusCommon Names: Island Monkeyflower, Sticky Monkeyflower",Shrub,3.9 - 5 ft tall5 ft wide,,"3.6"" - 117.2""","0.14"" - 2.71""","Part Shade, Full Sun",Very Low,Tolerant of difficult soils if adequate drainage is provided. Tolerates Serpentine Soil. Soil PH: 5.0 - 8.0," 27.8"" - 57.4"""," 52.8"" - 82.0""",Tolerates cold to 15° F,"0.01"" - 34.52""","-133"" - 8815""","Deer Resistant, Hummingbird Gardens, Bird Gardens, Butterfly Gardens, Bee Gardens","Orange,  Yellow",,11806,https://inaturalist-open-data.s3.amazonaws.com/photos/3808493/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Diplacus-aurantiacus-(Bush-Monkey-Flower)?srchcr=sc61ab02a473e1f"
Carex barbarae,Common Names: Santa Barbara Sedge,Grasses,1.6 - 3.3 ft tall3 ft wide,,"9.7"" - 69.1""","0.16"" - 3.17""",Part Shade,"Low, Moderate - High",Tolerates a variety of soils. Soil PH: 5.5 - 8.0," 21.2"" - 55.7"""," 52.3"" - 80.3""",Tolerates cold to 15° F,"0.01"" - 27.76""","-253"" - 9055""","Bogs and Ponds, Deer Resistant","Cream,  Purple,  Red",,196,https://inaturalist-open-data.s3.amazonaws.com/photos/16259864/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Carex-barbarae-(Valley-Sedge)?srchcr=sc61ab02a473e1f"
Cornus sericea,"Botanical Names: Cornus sericea ssp. sericea,Cornus stoloniferaCommon Names: Redosier Dogwood","Shrub, Tree",4 - 13.1 ft tall9 - 15 ft wide,"['USDA Zone 4a: to -34.4 °C (-30 °F)', 'USDA Zone 4b: to -31.6 °C (-25 °F)', 'USDA Zone 5a: to -28.8 °C (-20 °F)', 'USDA Zone 5b: to -26.1 °C (-15 °F)', 'USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)']","7.3"" - 155.6""","0.16"" - 5.84""","Full Shade,  Part Shade,  Full Sun",Moderate - High,"Tolerates a variety of soils but does best in moist, rich loamy soil. Soil PH: 5 - 7"," 23.3"" - 56.5"""," 46.5"" - 79.3""",Tolerates cold to 0 - 10° F,"0.01"" - 28.16""","-12"" - 10807""","Bogs and Ponds, Hedges, Bird Gardens, Butterfly Gardens","White,  Purple,  Red",Very Easy,26435,https://static.inaturalist.org/photos/16633753/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Cornus-sericea-(Creek-Dogwood)?srchcr=sc61ab02a473e1f"
Quercus dumosa,"Common Names: California Scrub Oak, Coastal Sage Scrub Oak","Tree, Shrub",3.3 - 10 ft tall8 - 10 ft wide,,"5.4"" - 71.8""","0.13"" - 2.83""",Full Sun,Low,Often but not always found on eroded gabbro or sandstone soils. Soil PH: 6.0 - 8.0," 24.6"" - 57.2"""," 45.5"" - 83.4""",Tolerates cold to -5° F,"0.59"" - 34.55""","-237"" - 11310""","Bank Stabilization, Hedges, Bird Gardens, Butterfly Gardens","Yellow,  Cream,  Green",Moderately Easy,761,https://inaturalist-open-data.s3.amazonaws.com/photos/6721078/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Quercus-dumosa-(Nuttall\'s-Scrub-Oak)?srchcr=sc61ab02a473e1f"
Baccharis salicifolia,"Botanical Names: Baccharis vimineaCommon Names: Mule Fat, Mule's Fat, Mule-fat, Seep Willow, Seepwillow Baccharis, Water-wally",Shrub,6 - 12 ft tall3 - 9 ft wide,,"2.5"" - 56.9""","0.14"" - 2.39""",Full Sun,Low,"Heavier riparian soils, sandy washes. Soil PH: 6 - 9"," 39.2"" - 61.4"""," 59.8"" - 89.6""",Tolerates cold to -10 - 0° F,"0.09"" - 47.01""","-227"" - 6779""","Hedges, Butterfly Gardens, Bird Gardens, Bee Gardens","Pink,  White,  Yellow",Very Easy,10296,https://static.inaturalist.org/photos/62345687/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Baccharis-salicifolia-(Mulefat)?srchcr=sc61ab02a473e1f"
Dendromecon rigida,Common Names: Tree Poppy,Shrub,3 - 10 ft tall2 - 8 ft wide,"['USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","4.9"" - 74.9""","0.14"" - 2.78""",Full Sun,Very Low,"Well drained soils, typically on a slope. Tolerant of clay only if given no water after established.. Tolerates Serpentine Soil. Soil PH: 6 - 8"," 24.3"" - 57.3"""," 45.6"" - 84.4""",Tolerates cold to 0 - 10° F,"0.47"" - 35.52""","7"" - 9624""",,Yellow,,4794,https://static.inaturalist.org/photos/110212375/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Dendromecon-rigida-(Bush-Poppy)?srchcr=sc61ab02a473e1f"
