,Plant Name,Other Names,Plant Type,Plant Size,Growing Zones,Rainfall,Summer Rainfall,Sun,Moisture,Soil,Coldest Month,Hottest Month,Cold Tolerance,Humidity,Elevation,Uses,Flower Color,Ease of Care,Sightings,Image,Calscape url
11,Cornus sericea ssp. sericea,"Botanical Names: Cornus stoloniferaCommon Names: American Dogwood, Redosier Dogwood",Shrub,4 - 15 ft tall12 ft wide,"['USDA Zone 4a: to -34.4 °C (-30 °F)', 'USDA Zone 4b: to -31.6 °C (-25 °F)', 'USDA Zone 5a: to -28.8 °C (-20 °F)', 'USDA Zone 5b: to -26.1 °C (-15 °F)', 'USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)']","4.7"" - 155.6""","0.16"" - 5.84""",Part Shade,Moderate - High,Tolerates clay soil. Tolerates Serpentine Soil. Soil PH: 4.0 - 7.0," 23.3"" - 55.8"""," 47.4"" - 79.3""",Tolerates cold to 0° F,"0.09"" - 30.26""","-12"" - 10329""","Bird Gardens, Butterfly Gardens","White,  Red",,26483,https://static.inaturalist.org/photos/16633753/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Cornus-sericea-ssp.-sericea-(Creek-Dogwood)?srchcr=sc61b19638da777"
12,Platanus racemosa,"Common Names: Aliso, California Plane, California Sycamore",Tree,20 - 115 ft tall50 ft wide,,"3.8"" - 57.7""","0.15"" - 2.31""",Full Sun,Moderate - High,Tolerates sand and clay. Soil PH: 5.0 - 8.0," 24.6"" - 59.1"""," 45.5"" - 87.7""",Tolerates cold to 10° F,"0.47"" - 38.56""","-6"" - 11310""","Deer Resistant, Bird Gardens, Butterfly Gardens","Yellow,  Cream,  Orange,  Brown",Very Easy,10441,https://inaturalist-open-data.s3.amazonaws.com/photos/38512081/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Platanus-racemosa-(Western-Sycamore)?srchcr=sc61b19638da777"
13,Sambucus nigra ssp. caerulea,"Botanical Names: Sambucus mexicanaCommon Names: Common Elderberry, Mexican Elderberry","Shrub, Tree",20 - 30 ft tall20 - 30 ft wide,"['USDA Zone 3a:  to -39.9 °C (-40 °F)', 'USDA Zone 3b: to -37.2 °C (-35 °F)', 'USDA Zone 4a: to -34.4 °C (-30 °F)', 'USDA Zone 4b: to -31.6 °C (-25 °F)', 'USDA Zone 5a: to -28.8 °C (-20 °F)', 'USDA Zone 5b: to -26.1 °C (-15 °F)', 'USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)']","4.7"" - 153.6""","0.15"" - 5.67""","Full Shade,  Part Shade,  Full Sun",Low,Tolerates a variety of soils but prefers well-drained soils with moisture. Soil PH: 6.0 - 7.0," 24.3"" - 57.2"""," 47.0"" - 80.8""",Tolerates cold to 5° ; F,"0.01"" - 31.90""","-221"" - 10519""","Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","Cream,  Yellow,  Purple",,22182,https://inaturalist-open-data.s3.amazonaws.com/photos/81564732/small.jpeg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Sambucus-nigra-ssp.-caerulea-(Blue-Elderberry)?srchcr=sc61b19638da777"
14,Quercus engelmannii,,Tree,32.8 - 65.6 ft tall90 ft wide,,"10.4"" - 34.9""","0.22"" - 3.00""","Full Sun,  Part Shade",Low,Tolerates a variety of soils including deep loamy-clay soils and shallow rocky soils. Soil PH: 6.0 - 8.0," 39.6"" - 56.7"""," 63.5"" - 80.7""",Tolerates cold to 30° F,"1.07"" - 31.07""","2"" - 6555""","Bank Stabilization, Deer Resistant, Bird Gardens, Butterfly Gardens","Cream,  Green",Very Easy,1205,https://static.inaturalist.org/photos/6525068/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Quercus-engelmannii-(Engelmann-Oak)?srchcr=sc61b19638da777"
15,Rhus ovata,Common Names: Sugar Sumac,Shrub,6.6 - 32.8 ft tall30 ft wide,"['USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)', 'USDA Zone 11: above 4.5 °C (40 °F)']","4.8"" - 43.2""","0.14"" - 2.77""","Full Sun, Part Shade",Very Low,Tolerates a variety of soils. Soil PH: 6.0 - 8.0," 33.5"" - 59.1"""," 60.6"" - 87.7""",Tolerates cold to 0° F,"0.89"" - 38.56""","-283"" - 7419""","Bank Stabilization, Hedges, Deer Resistant, Bird Gardens","White,  Pink",Very Easy,6086,https://static.inaturalist.org/photos/5762942/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Rhus-ovata-(Sugar-Bush)?srchcr=sc61b19638da777"
16,Salvia apiana,Botanical Names: Salvia apiana var. apiana,Shrub,3 - 5 ft tall3 - 8 ft wide,,"3.8"" - 37.6""","0.14"" - 2.84""",Full Sun,"Extremely Low, Very Low",Adaptable to a variety of soil types. Soil PH: 6.0 - 8.0," 35.6"" - 59.1"""," 62.1"" - 87.7""",Tolerates cold to 0° F,"0.72"" - 38.56""","7"" - 7394""","Bank Stabilization, Groundcovers, Hedges, Deer Resistant, Hummingbird Gardens, Bird Gardens, Butterfly Gardens, Bee Gardens",White,Very Easy,7877,https://static.inaturalist.org/photos/557242/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Salvia-apiana-(White-Sage)?srchcr=sc61b19638da777"
17,Rhus integrifolia,Common Names: Lemonade Sumac,Shrub,3 - 30 ft tall3 - 20 ft wide,,"3.6"" - 39.3""","0.14"" - 2.72""","Part Shade, Full Sun","Extremely Low, Very Low",Many soil types. Soil PH: 5.0 - 8.0," 33.5"" - 59.2"""," 59.0"" - 88.3""",Tolerates cold to 25° F,"0.83"" - 40.37""","-167"" - 7419""","Bank Stabilization, Bird Gardens, Deer Resistant, Hedges","Pink,  White",Very Easy,9817,https://inaturalist-open-data.s3.amazonaws.com/photos/14516370/small.jpeg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Rhus-integrifolia-(Lemonade-Berry)?srchcr=sc61b19638da777"
18,Trichostema lanatum,,Shrub,5 ft tall10 ft wide,,"10.7"" - 49.3""","0.14"" - 2.63""","Part Shade, Full Sun","Very Low, Low",Often but not always found on eroded gabbro or sandstone soils. Soil PH: 6.0 - 7.5," 37.6"" - 56.2"""," 60.1"" - 79.3""",Tolerates cold to 0° F,"0.59"" - 27.56""","5"" - 6306""","Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","Blue,  Lavender,  Pink",Moderately Easy,1847,https://inaturalist-open-data.s3.amazonaws.com/photos/18967927/small.jpeg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Trichostema-lanatum-(Woolly-Bluecurls)?srchcr=sc61b19638da777"
19,Penstemon heterophyllus,"Common Names: Bunchleaf Penstemon, Foothill Beardtongue",Perennial herb,3.3 - 5 ft tall5 ft wide,"['USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","7.6"" - 99.6""","0.14"" - 2.57""","Full Sun,  Part Shade",Very Low,Tolerant of a variety of soils as long as drainage is good. Tolerates Sodic Soil. Soil PH: 6.0 - 7.5," 28.9"" - 55.0"""," 54.3"" - 78.4""",Tolerates cold to 10° F,"0.29"" - 28.30""","30"" - 6924""","Groundcovers, Deer Resistant, Bird Gardens, Hummingbird Gardens, Butterfly Gardens, Bee Gardens","Blue,  Lavender,  Purple",Very Easy,2138,https://inaturalist-open-data.s3.amazonaws.com/photos/116263/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Penstemon-heterophyllus-(Foothill-Penstemon)?srchcr=sc61b19638da777"
20,Ribes aureum,,Shrub,6 - 10 ft tall5 - 10 ft wide,,"5.8"" - 51.8""","0.18"" - 2.63""",Part Shade,"Low, Moderate - High",Tolerates a variety of soils. Soil PH: 6.0 - 8.0," 24.5"" - 55.6"""," 46.6"" - 81.0""",Tolerates cold to 0 - 30° F,"0.58"" - 28.86""","24"" - 10095""","Groundcovers, Deer Resistant, Hummingbird Gardens, Bird Gardens, Butterfly Gardens, Bee Gardens","Yellow,  Cream",Very Easy,6615,https://inaturalist-open-data.s3.amazonaws.com/photos/163767099/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Ribes-aureum-(Golden-Currant)?srchcr=sc61b19638da777"
21,Lupinus albifrons,,Shrub,3.2 - 5 ft tall2 - 3 ft wide,"['USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","4.9"" - 130.5""","0.14"" - 4.08""",Full Sun,Very Low,Occurs in a variety of soils. Soil PH: 6.0 - 8.0," 21.0"" - 56.7"""," 42.0"" - 84.4""",Tolerates cold to -10° F,"0.08"" - 35.52""","-7"" - 12091""","Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","Blue,  Lavender,  Purple",Very Easy,4717,https://inaturalist-open-data.s3.amazonaws.com/photos/25652342/small.jpeg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Lupinus-albifrons-(Silver-Lupine)?srchcr=sc61b19638da777"
22,Frangula californica,Botanical Names: Rhamnus californicaCommon Names: California Buckthorn,Shrub,6 - 15 ft tall5 - 15 Feet wide,,"3.5"" - 156.3""","0.14"" - 5.90""","Full Sun, Part Shade","Low, Very Low","Tolerates a variety of soils, but some subspecies have specific soil affinities. Soil PH: 5.0 - 8.0"," 11.6"" - 56.0"""," 34.8"" - 81.9""",Tolerates cold to 10° F,"0.01"" - 34.79""","-261"" - 13935""","Bank Stabilization, Hedges, Groundcovers, Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","Cream,  Green,  White",Very Easy,8922,https://inaturalist-open-data.s3.amazonaws.com/photos/47390634/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Frangula-californica-(Coffeeberry)?srchcr=sc61b19638da777"
23,Elymus condensatus,"Botanical Names: Leymus condensatusCommon Names: Giant Rye Grass, Giant Wild-rye",Grasses,3 - 6 ft tall2 - 8 ft wide,,"5.1"" - 50.8""","0.14"" - 3.40""",Full Sun,Very Low,Tolerant of sand and clay. Tolerates Serpentine Soil. Soil PH: 5.0 - 8.0," 28.5"" - 56.9"""," 54.9"" - 84.0""",Tolerates cold to 15° F,"0.04"" - 35.93""","-7"" - 7531""","Groundcovers, Deer Resistant, Butterfly Gardens",Brown,Very Easy,2251,https://inaturalist-open-data.s3.amazonaws.com/photos/66056/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Elymus-condensatus-(Giant-Wildrye)?srchcr=sc61b19638da777"
24,Erythranthe cardinalis,"Botanical Names: Diplacus cardinalis,Mimulus cardinalis,Mimulus cardinalisCommon Names: Cardinal Monkey Flower",Perennial herb,1.5 - 3 ft tall3 ft wide,,"5.2"" - 91.2""","0.14"" - 3.60""","Part Shade, Full Sun",Moderate - High,Tolerates sandy and clay soils. Tolerates Serpentine Soil. Soil PH: 4.0 - 9.0," 24.3"" - 56.6"""," 47.8"" - 84.0""",,"0.28"" - 34.82""","-180"" - 10461""","Bee Gardens, Bird Gardens, Bogs and Ponds, Butterfly Gardens, Deer Resistant, Hummingbird Gardens","Red,  Orange",Very Easy,3335,https://static.inaturalist.org/photos/19841190/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Erythranthe-cardinalis-(Scarlet-Monkeyflower)?srchcr=sc61b19638da777"
25,Cercocarpus betuloides,"Common Names: Birch-leaf Mountain-mahogany, Comes",Shrub,8 - 20 ft tall10 - 12 ft wide,,"4.3"" - 97.0""","0.14"" - 3.08""","Part Shade, Full Sun","Very Low, Low,",adaptable. Tolerates Serpentine Soil. Soil PH: 5.0 - 8.0," 24.9"" - 57.5"""," 47.6"" - 84.2""",Tolerates cold to 20° F,"0.35"" - 35.59""","11"" - 9839""","Hedges, Bank Stabilization, Deer Resistant, Bird Gardens, Butterfly Gardens","Cream,  White",Moderately Easy,4360,https://inaturalist-open-data.s3.amazonaws.com/photos/62842220/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Cercocarpus-betuloides-(Mountain-Mahogany)?srchcr=sc61b19638da777"
26,Arctostaphylos glandulosa,Common Names: Eastwood's Manzanita,Shrub,3 - 12 ft tall8 ft wide,"['USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","9.6"" - 169.0""","0.14"" - 3.96""","Full Sun, Part Shade","Very Low, Low","Often gravelly, decomposed granite soil. Soil PH: 6.0 - 8.0"," 32.4"" - 55.7"""," 54.3"" - 80.8""",Tolerates cold to 10° F,"0.01"" - 29.80""","7"" - 7920""","Bank Stabilization, Groundcovers, Hedges, Bird Gardens, Hummingbird Gardens, Bee Gardens","Pink,  White",Moderately Easy,2244,https://inaturalist-open-data.s3.amazonaws.com/photos/23458665/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Arctostaphylos-glandulosa-(Eastwood-Manzanita)?srchcr=sc61b19638da777"
27,Atriplex lentiformis,"Common Names: Quail Bush, Quailbush",Shrub,3.3 - 10 ft tall10 ft wide,,"2.5"" - 38.1""","0.12"" - 1.77""",Full Sun,Low,"Tolerates a variety of soils, especially alkaline. Tolerates Saline Soil,Tolerates Sodic Soil. Soil PH: 7.0 - 9.0"," 33.8"" - 63.3"""," 62.6"" - 89.6""",Tolerates cold to 15° F,"0.91"" - 43.88""","-230"" - 6825""","Bank Stabilization, Hedges, Butterfly Gardens, Bird Gardens","Yellow,  Brown",Very Easy,2800,https://inaturalist-open-data.s3.amazonaws.com/photos/1109549/small.JPG,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Atriplex-lentiformis-(Big-Saltbush)?srchcr=sc61b19638da777"
28,Baccharis pilularis,"Common Names: Coyote Brush, Coyotebrush, Dwarf Chaparral Broom",Shrub,1.5 - 10 ft tall12 ft wide,"['USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","3.6"" - 123.6""","0.15"" - 3.72""","Full Sun,  Part Shade","Very Low, Low","Tolerant of a variety of soils including sand, clay and alkaline. Soil PH: 5.0 - 8.0"," 39.7"" - 59.0"""," 56.7"" - 87.9""",,"0.01"" - 38.93""","-152"" - 6046""","Bank Stabilization, Groundcovers, Hedges, Butterfly Gardens, Deer Resistant, Bird Gardens, Bee Gardens","Yellow,  Cream,  White",Very Easy,19548,https://inaturalist-open-data.s3.amazonaws.com/photos/5362069/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Baccharis-pilularis-(Coyote-Bush)?srchcr=sc61b19638da777"
29,Salvia mellifera,,Shrub,3 - 6 ft tall10 ft wide,,"4.5"" - 51.2""","0.14"" - 2.64""",Full Sun,"Extremely Low, Very Low","Tolerates a variety of soils although it is happier with good drainage. Tolerates Gabro Soil,Tolerates Serpentine Soil. Soil PH: 4.0 - 8.0"," 34.4"" - 60.4"""," 58.6"" - 88.3""",Tolerates cold to 30° F,"0.41"" - 42.82""","-18"" - 6692""","Bank Stabilization, Groundcovers, Hedges, Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","Blue,  Lavender,  White",Very Easy,10025,https://inaturalist-open-data.s3.amazonaws.com/photos/3188238/small.JPG,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Salvia-mellifera-(Black-Sage)?srchcr=sc61b19638da777"
30,Acer macrophyllum,Common Names: Bigleaf Maple,Tree,30 - 114.8 ft tall65 ft wide,,"5.8"" - 133.8""","0.14"" - 4.51""","Part Shade, Full Sun",Moderate - High,"Prefers clay or loamy soil, tolerates sandy soil. Tolerates Serpentine Soil. Soil PH: 5.5 - 7.5"," 29.4"" - 58.4"""," 47.3"" - 87.1""",Tolerates cold to 5° F,"0.01"" - 37.68""","3"" - 8910""","Bird Gardens, Deer Resistant, Butterfly Gardens","Yellow,  Pink",moderately easy,14174,https://inaturalist-open-data.s3.amazonaws.com/photos/1145/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Acer-macrophyllum-(Big-Leaf-Maple)?srchcr=sc61b19638da777"
31,Acer negundo,"Botanical Names: Acer negundo var. californicumCommon Names: Ashleaf Maple, Boxelder Maple, California Boxelder, Manitoba Maple, Maple Ash",Tree,35 - 66 ft tall40 ft wide,,"5.4"" - 63.5""","0.14"" - 2.62""","Part Shade, Full Sun",Moderate - High,Tolerates a variety of soils as long as adequate moisture is present. Soil PH: 5.0 - 8.0," 28.8"" - 55.2"""," 56.0"" - 79.6""",Tolerates cold to -15° F,"0.14"" - 27.71""","3"" - 7419""","Bird Gardens, Deer Resistant, Butterfly Gardens","White,  Cream",Moderately Easy,53226,https://inaturalist-open-data.s3.amazonaws.com/photos/22900635/small.jpeg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Acer-negundo-(Box-Elder)?srchcr=sc61b19638da777"
32,Leptosyne gigantea,Botanical Names: Coreopsis gigantea,"Shrub, Succulent",3.3 - 8 ft tall2 - 4 ft wide,,"8.7"" - 27.2""","0.14"" - 0.40""",Full Sun,"Extremely Low, Very Low",Prefers sand or sandstone. Soil PH: 5.0 - 7.0," 46.7"" - 57.3"""," 60.0"" - 77.4""",Tolerates cold to 25° F,"0.89"" - 22.43""","-146"" - 1900""","Bank Stabilization, Hedges, Bee Gardens",Yellow,Moderately Easy,1204,https://inaturalist-open-data.s3.amazonaws.com/photos/34149/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Leptosyne-gigantea-(Giant-Coreopsis)?srchcr=sc61b19638da777"
